category,subcategory,monthly_usd,annual_usd,justification,quality_level,ai_industry_benchmark
Housing,Rent (3BR modern),3000.00,36000.00,"Spacious 3BR in safe area (Gulshan/Banani), modern amenities, reliable utilities, secure building",Professional standard,"AI engineers: $2500-4000/mo typical"
Housing,Utilities & maintenance,300.00,3600.00,"High-speed fiber internet, AC, backup generator, water filtration, building maintenance",Reliable/quality,"Industry standard: $250-400/mo"
Healthcare,Private insurance (family),1200.00,14400.00,"Comprehensive private health insurance for family of 3, preventive care, specialists, dental, vision",Comprehensive,"Tech industry: $1000-1500/mo family coverage"
Healthcare,Out-of-pocket medical,300.00,3600.00,"Medicine, supplements, mental health, therapy, alternative care",Preventive focused,"AI workers: $200-500/mo wellness budget"
Food,Quality groceries,800.00,9600.00,"Nutritious variety, organic options, quality protein, fresh produce daily",Healthy/optimal,"Professional standard: $700-1000/mo family of 3"
Food,Dining out,400.00,4800.00,"2-3x per week family dining, social meals, celebrations",Normal social life,"Tech workers: $300-600/mo discretionary dining"
Transportation,Personal vehicle,500.00,6000.00,"Mid-range car payment or equivalent Uber/premium transport budget",Independent mobility,"AI industry: $400-800/mo transport allowance"
Transportation,Fuel & maintenance,300.00,3600.00,"Fuel, insurance, maintenance, parking",Full mobility,"Standard vehicle costs: $250-400/mo"
Education,Private school (children),1500.00,18000.00,"Quality private/international school, proper facilities, qualified teachers",Competitive advantage,"Expat/tech families: $1200-2000/mo per child"
Education,Tutoring & enrichment,500.00,6000.00,"Private tutoring, music/art/sports, educational materials, online courses",Holistic development,"Professional class standard: $400-800/mo"
Recreation,Entertainment & hobbies,400.00,4800.00,"Movies, sports, hobbies, family activities, gym membership, streaming services",Normal family life,"Tech workers: $300-600/mo leisure budget"
Recreation,Annual vacation,1600.00,19200.00,"1-2 international trips OR 3-4 domestic trips per year, hotels, activities",Rest & bonding,"AI industry norm: $15000-25000/yr vacation budget"
Savings,Emergency fund,1500.00,18000.00,"Build 6-month emergency buffer over 2 years, then maintain",Financial security,"Tech industry: 15-20% of gross for savings"
Savings,Retirement/investment,1000.00,12000.00,"Long-term wealth building, children's education fund, retirement",Future security,"Industry standard: 10-15% to retirement"
Social,Festive & celebrations,600.00,7200.00,"Eid celebrations (2x), birthdays, weddings, social obligations, gifts",Cultural participation,"Professional class: $500-800/mo social budget"
Clothing,Quality clothing,400.00,4800.00,"Professional wardrobe, children's clothing, seasonal updates, proper footwear",Appropriate/dignified,"Professional standard: $300-600/mo"
Personal,Grooming & self-care,200.00,2400.00,"Haircuts, personal care products, hygiene, occasional spa/massage",Basic dignity,"Industry norm: $150-300/mo"
Household,Domestic help,300.00,3600.00,"Part-time cleaning help 2-3x/week (standard for professional families in Dhaka)",Time for family,"Common in professional households: $250-400/mo"
Contingency,Discretionary buffer,1100.00,13200.00,"Unexpected opportunities, equipment upgrades, courses, conferences, helping family",Flexibility,"Tech workers: 10% discretionary spending"
Professional,Skill development,400.00,4800.00,"Online courses, certifications, conferences, books, professional development",Career growth,"AI industry: $300-600/mo learning budget"
TOTAL,,16400.00,196800.00,"Family of 3, Dhaka Bangladesh, professional/middle-class standard",Dignified living,"AI industry median for mid-level engineer"
